date,close,high,low,open,volume
2024-02-02,1477.47998046875,1491.523546327024,1408.957064298207,1452.7826749938545,155706
2024-02-05,1414.864990234375,1496.3661200290826,1394.6713351727371,1486.5840738932136,40867
2024-02-06,1399.6591796875,1430.0707851755692,1386.9230954932518,1423.7269206529888,27053
2024-02-07,1423.0006103515625,1439.7076108814686,1398.593909042454,1399.6592593437376,16599
2024-02-08,1430.4581298828125,1439.804388275462,1411.3298256076612,1423.0005598109424,8813
2024-02-09,1436.41455078125,1442.128852620528,1412.201507587487,1439.223287437277,12993
2024-02-12,1407.6495361328125,1441.1603650619552,1396.608364529126,1428.5695823026774,19012
2024-02-13,1413.509033203125,1426.3419465037168,1386.9231582224347,1407.6495475006393,30165
2024-02-14,1410.2161865234375,1574.719587381586,1395.6398864282096,1421.3057136248422,145740
2024-02-15,1406.1483154296875,1424.5018740031323,1386.4389209534072,1421.4993619183392,17299
2024-02-16,1400.5308837890625,1418.7390212312114,1388.2790603567146,1406.293540745508,7158
2024-02-19,1409.150634765625,1415.0102384857728,1386.9231084952953,1411.7657143565607,13535
2024-02-20,1431.2813720703125,1442.0802941150555,1390.7971189490818,1390.7971189490818,11398
2024-02-21,1406.390380859375,1443.0973780816323,1400.5308953279757,1443.0973780816323,5830
2024-02-22,1392.637451171875,1425.082929871459,1389.828714444868,1416.220932193037,6481
2024-02-23,1417.8673095703125,1438.2547388498217,1392.6373899702353,1403.775389631362,11941
2024-02-26,1396.89892578125,1436.8019734036873,1392.63740656241,1433.412147379479,7441
2024-02-27,1391.862548828125,1438.2547631503774,1372.3952857805284,1408.42424669764,32944
2024-02-28,1398.7391357421875,1409.053916553855,1375.300955482117,1396.6084350740934,11628
2024-02-29,1397.5284423828125,1417.1894816281615,1376.9958281256372,1397.5769157624718,10778
2024-03-01,1409.9739990234375,1434.3806996260412,1387.8916560189853,1389.8286995026124,14601
2024-03-04,1427.2620849609375,1481.8382613324347,1409.925522179537,1438.2547830579513,49729
2024-03-05,1487.843017578125,1538.9810116372855,1419.852840188962,1438.690540334203,171228
2024-03-06,1465.857666015625,1508.4241495612514,1450.8940522958628,1499.22319295263,27445
2024-03-07,1442.7099609375,1473.6543014817155,1438.20631119883,1466.0997846150592,13469
2024-03-11,1412.2984619140625,1476.995766381758,1404.356630330196,1469.199118487786,16951
2024-03-12,1388.4244384765625,1417.1410145362252,1384.1144456391903,1404.3565743914878,17867
2024-03-13,1341.6932373046875,1405.1797675413484,1333.6544594302377,1405.1797675413484,33127
2024-03-14,1297.044189453125,1341.6931335827433,1270.700446989561,1341.6931335827433,62145
2024-03-15,1269.1024169921875,1328.7149763764323,1258.7392818397998,1277.5769820744786,36303
2024-03-18,1314.33251953125,1336.6085203134785,1273.84826212288,1284.4051730956612,40224
2024-03-19,1321.6446533203125,1354.9618225672284,1295.010307272708,1314.0902551961835,20867
2024-03-20,1303.6302490234375,1334.041855001332,1288.1823747157828,1306.051553349261,12273
2024-03-21,1317.5770263671875,1326.8748116205838,1300.0951613025447,1307.504376414444,23278
2024-03-22,1336.6083984375,1342.3710551711265,1317.0926628426737,1317.5284503097485,10585
2024-03-26,1323.7755126953125,1336.5599519006546,1309.586646082122,1326.8747348578963,13315
2024-03-27,1331.2816162109375,1373.557495935491,1302.8554083205277,1329.0054955205826,27626
2024-03-28,1327.8433837890625,1365.6157338749658,1307.5044260504992,1345.9063389500525,16280
2024-04-01,1356.947509765625,1366.0515200670843,1328.8119042968085,1345.9063376441377,14834
2024-04-02,1372.6859130859375,1401.838393892814,1357.867483132972,1375.1555725929306,11719
2024-04-03,1364.743896484375,1397.0925447359418,1351.1845927573015,1379.078064858379,10884
2024-04-04,1375.2039794921875,1391.6688483205508,1364.6470693625702,1372.0562839808829,50937
2024-04-05,1368.71484375,1389.3444036218916,1347.697969773344,1385.9545776109633,17567
2024-04-08,1389.9739990234375,1429.4412599345958,1368.7148758904696,1389.2476077183242,29305
2024-04-09,1381.8868408203125,1408.2305843786623,1367.5041986603806,1393.9448889731705,6881
2024-04-10,1383.630126953125,1396.6083418474657,1364.2113371033388,1389.877163080425,5411
2024-04-12,1376.220947265625,1392.7342905609437,1368.5212465664906,1383.0490729631624,9149
2024-04-15,1383.24267578125,1420.7728925009346,1315.0588411488482,1375.3008449536037,18583
2024-04-16,1416.3177490234375,1432.3468311814795,1354.961920172267,1383.242707812567,9748
