date,close,high,low,open,volume
2024-02-02,19.0,20.0,18.5,19.0,14800
2024-02-05,18.0,19.5,18.0,18.0,12101
2024-02-06,18.5,18.5,17.5,18.5,14775
2024-02-07,19.0,19.0,18.5,19.0,1406
2024-02-08,19.0,19.0,18.0,19.0,20334
2024-02-09,19.5,19.5,19.0,19.5,14005
2024-02-12,20.0,20.0,20.0,20.0,677
2024-02-13,21.0,21.0,21.0,21.0,11169
2024-02-14,22.0,22.0,22.0,22.0,8944
2024-02-15,23.0,23.0,23.0,23.0,1268
2024-02-16,24.0,24.0,24.0,24.0,7630
2024-02-19,24.0,24.0,24.0,24.0,6566
2024-02-20,23.0,23.5,23.0,23.0,17401
2024-02-21,22.5,23.0,22.0,22.5,6311
2024-02-22,22.0,22.5,21.5,22.0,4058
2024-02-23,22.0,22.0,21.0,22.0,5620
2024-02-26,22.0,22.0,21.0,22.0,3217
2024-02-27,21.5,22.0,21.5,21.5,757
2024-02-28,21.5,21.5,21.5,21.5,1051
2024-02-29,21.0,21.5,21.0,21.0,1239
2024-03-01,21.5,21.5,20.0,21.5,5692
2024-03-04,23.5,23.5,23.0,23.5,967
2024-03-05,22.5,23.0,22.5,22.5,2241
2024-03-06,21.5,22.5,21.5,21.5,1010
2024-03-07,21.5,21.5,21.5,21.5,421
2024-03-11,21.0,21.0,21.0,21.0,942
2024-03-12,20.0,20.0,20.0,20.0,1135
2024-03-13,20.0,20.0,20.0,20.0,589
2024-03-14,20.5,20.5,20.0,20.5,1677
2024-03-15,19.5,19.5,19.5,19.5,6802
2024-03-18,20.0,20.0,18.5,20.0,4362
2024-03-20,19.5,20.0,19.0,19.5,960
2024-03-21,19.5,19.5,19.0,19.5,2207
2024-03-22,19.5,19.5,19.0,19.5,1896
2024-03-26,19.5,19.5,19.5,19.5,729
2024-03-27,19.0,19.0,18.5,19.0,2197
2024-03-28,19.0,19.0,18.0,19.0,1741
2024-04-01,19.0,19.0,19.0,19.0,1312
2024-04-02,19.5,19.5,19.5,19.5,344
2024-04-03,20.0,20.0,20.0,20.0,150
2024-04-04,20.5,20.5,20.5,20.5,912
2024-04-05,21.5,21.5,21.0,21.5,1051
2024-04-08,22.5,22.5,21.5,22.0,14258
2024-04-09,23.5,23.5,22.0,23.0,12565
2024-04-10,24.5,24.5,24.0,24.5,10268
2024-04-12,25.0,25.5,23.5,25.0,26506
2024-04-15,24.0,25.5,24.0,25.0,21115
2024-04-16,24.5,25.0,23.0,25.0,15466
2024-04-18,25.5,25.5,24.0,25.5,10855
2024-04-19,25.0,26.0,24.5,25.5,7782
2024-04-22,25.0,26.0,24.0,26.0,6525
2024-04-23,26.0,26.0,25.0,26.0,8353
2024-04-24,27.0,27.0,27.0,27.0,5889
2024-04-25,28.0,28.0,28.0,28.0,8396
2024-04-26,29.0,29.0,29.0,29.0,6286
2024-04-29,30.0,30.0,30.0,30.0,1610
2024-04-30,31.5,31.5,31.5,31.5,1618
2024-05-02,33.0,33.0,33.0,33.0,2159
2024-05-03,34.5,34.5,34.5,34.5,4639
2024-05-06,36.0,36.0,36.0,36.0,10530
2024-05-07,37.0,37.5,34.5,37.5,67243
2024-05-08,35.5,37.0,35.5,35.5,22374
2024-05-09,34.0,35.5,34.0,35.5,12631
2024-05-10,32.5,32.5,32.5,32.5,10663
2024-05-13,34.0,34.0,31.0,33.5,14972
2024-05-14,35.5,35.5,35.0,35.5,5769
2024-05-15,37.0,37.0,37.0,37.0,4142
2024-05-16,38.5,38.5,38.5,38.5,6336
2024-05-17,40.0,40.0,40.0,40.0,3515
2024-05-21,39.0,39.0,39.0,39.0,6291
2024-05-22,38.5,38.5,38.5,38.5,2127
2024-05-23,38.0,38.0,38.0,38.0,2347
2024-05-24,37.5,37.5,37.5,37.5,4263
2024-05-27,37.0,37.5,37.0,37.0,7714
2024-05-28,36.5,37.0,36.5,36.5,5833
2024-05-29,36.0,36.5,36.0,36.0,1859
2024-05-30,35.5,35.5,35.5,35.5,2862
2024-05-31,35.0,35.5,35.0,35.0,5498
2024-06-03,34.5,34.5,34.5,34.5,3462
2024-06-04,34.0,34.0,34.0,34.0,3451
2024-06-05,33.5,33.5,33.5,33.5,618
2024-06-06,33.0,33.0,33.0,33.0,1327
2024-06-07,32.5,32.5,32.5,32.5,3580
2024-06-10,31.799999237060547,32.5,31.799999237060547,31.799999237060547,2576
2024-06-11,31.100000381469727,31.799999237060547,31.100000381469727,31.100000381469727,3908
2024-06-12,31.100000381469727,31.100000381469727,30.799999237060547,31.100000381469727,7161
2024-06-13,30.5,30.5,30.39999961853028,30.5,2139
2024-06-14,29.799999237060547,30.5,29.799999237060547,29.799999237060547,7872
2024-06-18,29.89999961853028,29.89999961853028,29.799999237060547,29.89999961853028,4932
2024-06-19,29.5,29.5,29.5,29.5,12967
2024-06-20,30.0,30.0,30.0,30.0,3205
2024-06-21,30.600000381469727,30.600000381469727,30.600000381469727,30.600000381469727,778
2024-06-24,32.099998474121094,32.099998474121094,32.099998474121094,32.099998474121094,5418
2024-06-25,33.70000076293945,33.70000076293945,33.70000076293945,33.70000076293945,2590
2024-06-26,35.29999923706055,35.29999923706055,35.29999923706055,35.29999923706055,7106
2024-06-27,37.0,37.0,36.0,37.0,20154
2024-06-28,38.79999923706055,38.79999923706055,38.59999847412109,38.79999923706055,10200
2024-07-01,40.70000076293945,40.70000076293945,40.70000076293945,40.70000076293945,6534
2024-07-02,42.70000076293945,42.70000076293945,41.0,41.0,5431
2024-07-03,43.29999923706055,43.5,43.09999847412109,43.29999923706055,24772
2024-07-04,42.400001525878906,42.70000076293945,42.400001525878906,42.400001525878906,7768
2024-07-05,41.5,41.5,41.5,41.5,3439
2024-07-08,40.59999847412109,41.5,40.59999847412109,40.59999847412109,2833
2024-07-09,39.70000076293945,40.0,39.70000076293945,39.70000076293945,1365
2024-07-10,38.900001525878906,38.900001525878906,38.900001525878906,38.900001525878906,1477
2024-07-11,38.20000076293945,38.400001525878906,38.20000076293945,38.20000076293945,6475
2024-07-12,37.400001525878906,37.400001525878906,37.400001525878906,37.400001525878906,2323
2024-07-15,37.400001525878906,37.400001525878906,37.400001525878906,37.400001525878906,0
2024-07-18,36.400001525878906,36.400001525878906,36.400001525878906,36.400001525878906,1744
2024-07-19,35.599998474121094,36.0,35.599998474121094,35.599998474121094,1073
2024-07-22,34.79999923706055,35.599998474121094,34.79999923706055,34.79999923706055,1058
2024-07-23,34.099998474121094,34.79999923706055,34.099998474121094,34.099998474121094,1480
2024-07-24,33.400001525878906,34.099998474121094,33.400001525878906,33.400001525878906,5627
2024-07-25,33.0,33.400001525878906,32.79999923706055,33.0,3397
2024-07-26,33.599998474121094,33.599998474121094,32.79999923706055,33.599998474121094,2974
2024-07-29,32.900001525878906,33.599998474121094,32.900001525878906,32.900001525878906,2688
2024-07-30,32.900001525878906,32.900001525878906,32.900001525878906,32.900001525878906,1527
2024-07-31,32.5,32.900001525878906,32.5,32.5,2251
2024-08-01,33.099998474121094,33.099998474121094,32.599998474121094,33.099998474121094,7507
2024-08-02,33.70000076293945,33.70000076293945,33.099998474121094,33.70000076293945,3587
2024-08-05,33.0,33.70000076293945,33.0,33.0,2666
2024-08-06,32.900001525878906,33.599998474121094,32.900001525878906,32.900001525878906,1388
2024-08-07,33.5,33.5,33.5,33.5,2485
2024-08-08,34.099998474121094,34.099998474121094,34.099998474121094,34.099998474121094,3797
2024-08-09,34.70000076293945,34.70000076293945,34.70000076293945,34.70000076293945,1247
2024-08-12,36.400001525878906,36.400001525878906,36.400001525878906,36.400001525878906,4846
2024-08-13,38.20000076293945,38.20000076293945,38.20000076293945,38.20000076293945,6934
2024-08-14,39.900001525878906,40.09999847412109,36.5,40.09999847412109,57937
2024-08-16,39.59999847412109,41.29999923706055,39.0,41.29999923706055,32568
2024-08-19,41.5,41.5,39.0,40.900001525878906,17103
2024-08-20,43.5,43.5,43.5,43.5,7497
2024-08-21,45.59999847412109,45.59999847412109,45.59999847412109,45.59999847412109,18792
2024-08-22,44.59999847412109,44.59999847412109,44.59999847412109,44.59999847412109,7727
2024-08-23,43.70000076293945,43.70000076293945,43.70000076293945,43.70000076293945,3785
2024-08-26,42.79999923706055,42.79999923706055,42.79999923706055,42.79999923706055,3413
2024-08-27,41.900001525878906,41.900001525878906,41.900001525878906,41.900001525878906,9346
2024-08-28,41.0,41.0,41.0,41.0,3282
2024-08-29,40.400001525878906,40.900001525878906,40.400001525878906,40.400001525878906,1383
2024-08-30,39.70000076293945,40.400001525878906,39.5,39.70000076293945,1841
2024-09-02,38.900001525878906,39.09999847412109,38.900001525878906,38.900001525878906,3435
2024-09-03,38.5,38.900001525878906,38.5,38.5,3172
2024-09-04,38.5,38.5,38.400001525878906,38.5,1947
2024-09-05,37.900001525878906,38.0,37.900001525878906,37.900001525878906,2223
2024-09-06,37.900001525878906,38.20000076293945,37.900001525878906,37.900001525878906,2296
2024-09-09,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,1823
2024-09-10,37.900001525878906,37.900001525878906,37.900001525878906,37.900001525878906,1203
2024-09-11,37.5,37.900001525878906,37.5,37.5,1362
2024-09-12,36.70000076293945,37.5,36.70000076293945,36.70000076293945,1260
2024-09-13,35.900001525878906,36.0,35.900001525878906,35.900001525878906,3646
2024-09-16,35.900001525878906,35.900001525878906,35.400001525878906,35.79999923706055,3358
2024-09-17,36.59999847412109,36.59999847412109,35.900001525878906,36.59999847412109,3621
2024-09-18,36.5,36.70000076293945,36.5,36.5,4960
2024-09-19,35.70000076293945,36.29999923706055,35.70000076293945,35.70000076293945,1974
2024-09-20,35.70000076293945,35.70000076293945,35.5,35.70000076293945,1696
2024-09-23,35.0,35.0,34.900001525878906,35.0,4502
2024-09-24,35.0,35.0,35.0,35.0,2176
2024-09-25,34.900001525878906,35.0,34.79999923706055,34.900001525878906,2809
2024-09-26,34.79999923706055,34.900001525878906,34.79999923706055,34.79999923706055,1648
2024-09-27,34.099998474121094,34.79999923706055,34.099998474121094,34.099998474121094,3002
2024-09-30,35.79999923706055,35.79999923706055,33.400001525878906,33.400001525878906,9145
2024-10-01,37.5,37.5,37.5,37.5,3673
