date,close,high,low,open,volume
2024-02-02,1487.8287353515625,1492.3092473573893,1455.320107267619,1455.320107267619,3427
2024-02-05,1531.48876953125,1562.205143357122,1463.733424543997,1487.529945299898,5214
2024-02-06,1500.075439453125,1563.200901437336,1476.5776667717005,1562.1553999884966,2321
2024-02-07,1508.2896728515625,1553.244167785218,1500.4736928540535,1500.4736928540535,1791
2024-02-08,1539.7528076171875,1561.209530585977,1434.1621466655026,1513.417402098651,3511
2024-02-09,1483.3978271484375,1532.3349957324344,1463.633816586536,1532.3349957324344,5915
2024-02-12,1413.6513671875,1516.4043937057186,1409.2205657319744,1473.5906123995164,5234
2024-02-13,1386.419677734375,1441.7291563476654,1343.0085202631783,1441.7291563476654,10460
2024-02-14,1414.2984619140625,1433.7140139963951,1361.079984438387,1399.911088603052,1525
2024-02-15,1396.0777587890625,1432.668606232037,1369.0453124922462,1432.668606232037,8284
2024-02-16,1367.7508544921875,1438.6922913754267,1362.125420239337,1413.8503912168378,6869
2024-02-19,1380.843994140625,1400.9067555667048,1354.1102967808945,1369.045336818919,7643
2024-02-20,1408.1751708984375,1449.8439077210471,1394.9327202975053,1421.7659599121152,2477
2024-02-21,1407.279052734375,1437.7465098678394,1388.9587127878367,1422.313635281308,2955
2024-02-22,1357.843994140625,1432.3698161834757,1354.1102343033915,1432.3698161834757,3160
2024-02-23,1385.5238037109375,1403.893855544477,1359.0887324951852,1388.9588145280466,8116
2024-02-26,1329.0194091796875,1398.91534431454,1316.27479372514,1398.91534431454,5981
2024-02-27,1329.467529296875,1369.0453868438144,1294.420016010342,1330.2142813260623,7556
2024-02-28,1334.39599609375,1364.0669909366295,1263.006553286945,1364.0669909366295,10306
2024-02-29,1294.5692138671875,1334.1969018061563,1274.456742023791,1334.1969018061563,10450
2024-03-01,1309.4046630859375,1335.4414394095995,1289.391734602372,1297.357088947406,15471
2024-03-04,1390.6016845703125,1436.701104625031,1364.913365567534,1372.0324260487632,54283
2024-03-05,1370.2899169921875,1403.8937569184266,1368.0496609971049,1389.954386282357,2753
2024-03-06,1360.333251953125,1368.049689429895,1341.166616930181,1368.049689429895,4753
2024-03-07,1428.13818359375,1428.337390371417,1359.088544487985,1359.636211199497,13164
2024-03-11,1444.76611328125,1499.5279295911994,1406.9306765580125,1477.5733709811775,18779
2024-03-12,1413.9998779296875,1503.4607463776667,1400.9566335111692,1482.3027722978486,11515
2024-03-13,1390.6016845703125,1424.7530718873054,1365.809492331198,1406.08427073461,14013
2024-03-14,1423.3592529296875,1444.7163131462264,1329.218661647286,1329.218661647286,4836
2024-03-15,1423.159912109375,1451.6858623129522,1379.002002265733,1423.807121472923,8406
2024-03-18,1475.8309326171875,1487.530047785514,1385.9717714306796,1385.9717714306796,6618
2024-03-19,1484.642578125,1539.9520604249706,1463.6339786580386,1498.631781435645,5779
2024-03-20,1456.4652099609375,1496.341695493576,1443.720593347819,1488.4758831249328,4222
2024-03-21,1496.3416748046875,1518.2962328304395,1476.5278302133252,1511.1273405065529,7560
2024-03-22,1501.170654296875,1540.798343674941,1475.6815428390842,1540.798343674941,12877
2024-03-26,1499.9759521484375,1537.8113893748832,1482.9997402499016,1537.8113893748832,7731
2024-03-27,1515.856689453125,1538.2592488846794,1494.4996314117084,1538.2592488846794,9494
2024-03-28,1521.5321044921875,1573.157534725315,1474.3871862250498,1513.6662925102278,12765
2024-04-01,1572.95849609375,1589.0384589482453,1532.5342230358992,1548.1663048388536,10578
2024-04-02,1603.5751953125,1623.9365833168229,1573.157450423409,1588.092489509707,9267
2024-04-03,1763.9278564453125,1763.9278564453125,1622.9410959745117,1622.9410959745117,58634
2024-04-04,1778.414794921875,1839.9969185644125,1674.6659779955703,1839.9969185644125,29695
2024-04-05,1845.6722412109373,1891.77178112556,1742.4213773524891,1812.118232446589,22294
2024-04-08,1818.3909912109373,1910.639659695917,1800.1203613177954,1891.771774039924,8809
2024-04-09,1788.4710693359375,1851.944990377088,1727.48632166895,1818.390981910041,7840
2024-04-10,1801.8131103515625,1835.0186597284944,1711.5556571206084,1711.5556571206084,5304
2024-04-12,1781.15283203125,1822.0748158829103,1757.356311493627,1784.2393825476372,1614
2024-04-15,1720.168212890625,1742.421399021219,1692.090263707109,1693.6834319338368,8110
2024-04-16,1742.0230712890625,1781.2026359220629,1643.9496402669183,1692.6378958136568,16028
2024-04-18,1829.0943603515625,1829.0943603515625,1703.640026893792,1748.3953139035295,14432
2024-04-19,1920.546630859375,1920.546630859375,1916.6634960914275,1920.546630859375,26480
2024-04-22,2016.5291748046875,2016.5291748046875,2016.5291748046875,2016.5291748046875,15222
2024-04-23,2117.340576171875,2117.340576171875,2016.5290606114768,2117.340576171875,38130
2024-04-24,2090.109130859375,2163.589580316999,2011.5010812864325,2140.689184390956,37084
2024-04-25,2194.6044921875,2194.6044921875,2041.122159704517,2061.035546628463,26890
2024-04-26,2304.327392578125,2304.327392578125,2240.255974474813,2275.602235405416,24268
2024-04-29,2340.9677734375,2419.476394840872,2304.974425537703,2388.610646593931,33393
2024-04-30,2225.22119140625,2389.606287858512,2223.927015800318,2389.606287858512,19272
2024-05-02,2177.976806640625,2290.3381866990662,2141.8339616876588,2160.7020897789203,9792
2024-05-03,2118.38623046875,2286.056853688903,2090.905658861802,2286.056853688903,6534
2024-05-06,2126.500732421875,2175.3881928587243,2012.4965962344445,2090.905554529293,5854
2024-05-07,2060.78662109375,2170.559166075311,2025.1914421087995,2126.500797681352,4839
2024-05-08,2070.593994140625,2115.797283577611,2021.2086991353176,2021.2086991353176,3771
2024-05-09,1967.0941162109373,2116.7929741527787,1967.0941162109373,2070.992185436397,4128
2024-05-10,1887.4405517578125,1991.338619945116,1868.771752195827,1991.338619945116,15350
2024-05-13,1973.217529296875,1981.7802612373307,1823.0705455270268,1881.56611873823,6739
2024-05-14,2004.4814453125,2071.838621295774,1971.4252721933983,2071.838621295774,4916
2024-05-15,1991.0897216796875,2090.905570960042,1981.381945814516,2041.122104984803,8075
2024-05-16,1969.2845458984373,2046.100458464956,1891.5726281746824,1991.3386457079864,21540
2024-05-17,1969.8819580078125,1991.7866834978367,1931.59852048396,1967.3927846566733,4769
2024-05-21,2026.3861083984373,2068.6026325195803,1991.8364323450828,2061.0354486150068,7334
2024-05-22,1976.2542724609373,2090.507451187921,1961.3192323059943,2080.948928255423,6766
2024-05-23,1982.327880859375,2040.1265363250773,1965.4513336777468,2039.1308669564464,4374
2024-05-24,2040.7735595703125,2081.3969171409904,1956.490247417444,1956.490247417444,7301
2024-05-27,1975.90576171875,2090.9055679563494,1971.425249787415,2042.2670245350805,6931
2024-05-28,1916.812744140625,1996.316912065941,1901.7283301974803,1981.3818728235528,2772
2024-05-29,1941.4556884765625,1991.3386985673408,1916.76303999766,1916.812872081792,2341
2024-05-30,1916.5140380859373,1991.338610690984,1901.7283732098888,1950.5161691718188,1794
2024-05-31,1919.2025146484373,1986.3603640545668,1892.76744464548,1911.6851623983805,1821
2024-06-03,1987.50537109375,2015.1351951917864,1933.589852194113,2015.1351951917864,8873
2024-06-04,1888.1375732421875,1988.3517189908991,1888.1375732421875,1987.3560496273583,6452
2024-06-05,1815.60302734375,1929.6071658854885,1793.7481341176992,1793.7481341176992,10113
2024-06-06,1906.2586669921875,1906.358209611769,1793.4991211296986,1843.8301302651776,9735
2024-06-07,1983.1741943359373,1999.204446032264,1871.8583160720104,1906.3582822164576,6601
2024-06-10,1972.6199951171875,2030.169730049125,1941.555161155368,1980.3862643784744,2931
2024-06-11,1994.0269775390625,2006.273759276875,1903.9189005095056,1972.6200863110464,4646
2024-06-12,2093.693359375,2093.693359375,1991.238968661384,1991.238968661384,9740
2024-06-13,2145.11962890625,2195.450759561849,2061.035406935613,2140.688949232642,6225
2024-06-14,2128.203857421875,2195.5678716661782,2085.789478082869,2143.67263106316,4794
2024-06-18,2046.11962890625,2149.411120964193,2021.818708038173,2135.688821294659,9622
2024-06-19,2050.909912109375,2095.7693063902107,2025.9103295105367,2095.7693063902107,3628
2024-06-20,2153.452880859375,2153.452880859375,2134.1417664836977,2140.6786193892094,4269
2024-06-21,2261.085693359375,2261.085693359375,2160.7384487944505,2261.085693359375,32880
2024-06-24,2374.107421875,2374.107421875,2330.645351685356,2374.107421875,12010
2024-06-25,2492.76806640625,2492.76806640625,2340.325791324144,2478.197381606645,38774
2024-06-26,2617.366455078125,2617.366455078125,2503.4964608961936,2594.7621819906844,24133
2024-06-27,2486.530517578125,2594.8119311038613,2486.530517578125,2594.8119311038613,15325
2024-06-28,2371.113525390625,2453.048228025442,2362.2315523743778,2396.163057562688,15925
2024-07-01,2489.624267578125,2489.624267578125,2435.084461023326,2489.624267578125,1888
2024-07-02,2598.7041015625,2614.0732233137064,2504.943419510192,2504.943419510192,10195
2024-07-03,2719.659912109375,2728.492180673117,2612.7258701544333,2683.582836075352,11689
2024-07-04,2730.5380859375,2844.258477016892,2614.721827994476,2844.258477016892,7663
2024-07-05,2659.082275390625,2744.4599791067776,2594.7621620645896,2724.500270167819,6047
2024-07-08,2601.398681640625,2743.462008227529,2546.9088221372035,2743.462008227529,3015
2024-07-09,2496.560546875,2641.6675366176764,2479.9938906289863,2641.6675366176764,3641
2024-07-10,2425.503662109375,2618.71373646674,2371.762293546841,2574.8023780808644,8962
2024-07-11,2546.7587890625,2546.7587890625,2304.248342170048,2475.7022788673885,8462
2024-07-12,2674.052001953125,2674.052001953125,2514.9232744484366,2594.712160556835,10794
2024-07-15,2749.150390625,2794.35917892813,2694.560636823554,2793.311245506275,6034
2024-07-16,2886.572998046875,2886.572998046875,2615.71984625994,2754.439822845263,14826
2024-07-18,3030.8818359375,3030.8818359375,2933.079261053774,3030.8818359375,40044
2024-07-19,2887.271728515625,2992.958287489985,2879.3375494733737,2992.958287489985,19801
2024-07-22,3031.630126953125,3031.630126953125,2964.0166165914843,3028.885667122948,20917
2024-07-23,3183.17431640625,3183.17431640625,2894.1576482773835,3181.3279459642167,33595
2024-07-24,3308.720703125,3332.273256063125,3025.143248709598,3133.67416113753,19853
2024-07-25,3216.507080078125,3283.322156700905,3173.5937060652923,3283.322156700905,6488
2024-07-26,3365.955322265625,3377.332258583838,3097.896341236162,3216.507005755573,12904
2024-07-29,3300.23779296875,3491.950884093406,3223.492813838726,3393.150330356553,8245
2024-07-30,3220.4990234375,3293.351960751085,3193.5534164859005,3293.351960751085,6428
2024-07-31,3233.622314453125,3331.225335849287,3063.915091152084,3207.5250935565377,5268
2024-08-01,3117.357177734375,3292.3540252155813,3071.9488394053938,3240.159337043938,7951
2024-08-02,3044.155029296875,3127.586465697974,3018.905948993716,3093.754856820006,3847
2024-08-05,2950.992919921875,3031.8297384209304,2894.207647349336,2899.147626416744,6091
2024-08-06,2867.162109375,3065.312159494164,2849.2483201549203,2944.5559259604524,4832
2024-08-07,2996.251708984375,3010.473001379748,2901.1436486560883,2904.137604949851,2921
2024-08-08,3017.0595703125,3073.7951397508577,2942.061062332964,3043.656028344097,2958
2024-08-09,2975.443603515625,3080.781014097669,2905.1855268927047,3080.781014097669,2029
2024-08-12,2955.334228515625,3081.7789305976303,2920.105294989853,2975.443536966586,3036
2024-08-13,2967.16015625,3043.805482710408,2920.404687052793,3043.805482710408,1899
2024-08-14,2818.809814453125,2993.956255393654,2818.809814453125,2993.956255393654,5797
2024-08-16,2723.4521484375,2869.1080656201148,2677.8942133934147,2818.8097000307484,10221
2024-08-19,2859.57763671875,2859.57763671875,2743.36203898794,2743.36203898794,4346
2024-08-20,2716.6162109375,2944.0070428371896,2716.6162109375,2934.0271886309592,6088
2024-08-21,2689.221435546875,2747.903029613051,2585.780339568985,2712.524493611926,6763
2024-08-22,2645.609375,2683.482872595352,2594.812015069579,2674.451299550155,4376
2024-08-23,2777.842529296875,2777.842529296875,2649.6513480251883,2649.6513480251883,17327
2024-08-26,2916.71240234375,2916.71240234375,2916.71240234375,2916.71240234375,2013
2024-08-27,3062.517822265625,3062.517822265625,3062.517822265625,3062.517822265625,4095
2024-08-28,2938.368408203125,3215.6087959817887,2909.426832132505,3215.6087959817887,32799
2024-08-29,2907.830078125,3085.271935055593,2795.906110400466,2938.36852952684,9400
2024-08-30,2945.553955078125,3013.866008067866,2844.2584353625803,2982.978408175001,8763
2024-09-02,3092.806884765625,3092.806884765625,3091.758951304146,3092.806884765625,7312
2024-09-03,3165.75927734375,3243.3526419043646,3094.7527138580817,3243.3526419043646,12959
2024-09-04,3107.078125,3163.613903770321,3013.916084979928,3073.795212496085,7297
2024-09-05,3097.297607421875,3187.565337263015,3043.855441030744,3105.68058724258,4870
2024-09-06,3050.641845703125,3182.57546798877,3019.155357332401,3097.297663554638,3973
2024-09-09,2940.364501953125,3093.7548128135086,2919.1073637030686,3093.7548128135086,3807
2024-09-10,2943.10888671875,3028.7857869482805,2934.077070137042,2993.8562980180777,15375
2024-09-11,2910.425048828125,3031.879830709748,2894.157837083037,2944.0571101361934,2637
2024-09-12,2910.474853515625,2982.7788478795524,2894.157694571202,2978.986454584496,1837
2024-09-13,2923.19921875,2991.9603173769674,2897.151701582834,2991.9603173769674,1690
2024-09-16,2873.399658203125,2978.8866715124072,2834.478225662703,2943.059091325741,2917
2024-09-17,2821.3046875,2881.183810687124,2794.359082065794,2881.183810687124,4121
2024-09-18,2807.08349609375,2943.9570992792483,2794.359181961604,2882.9803361764284,3473
2024-09-19,2757.832763671875,2873.199973654652,2694.5605866160327,2873.199973654652,3704
2024-09-20,2744.060791015625,2824.2987208189543,2695.5586024494683,2757.8327948058927,6078
2024-09-23,2769.509521484375,2824.2988252640803,2745.4579746648355,2783.1818734281565,4030
2024-09-24,2726.9951171875,2808.3309276360933,2701.0974446762625,2769.409496869282,5393
2024-09-25,2697.255126953125,2843.0608932501964,2694.5606150678136,2754.339843846287,4886
2024-09-26,2682.2353515625,2768.3615399498,2660.1800205045856,2724.5001305341434,3313
2024-09-27,2763.82080078125,2782.333479561693,2680.5889119212457,2680.5889119212457,2357
2024-09-30,2833.979248046875,2844.2585469639066,2764.4197105579024,2805.3371142159795,4983
2024-10-01,2975.64306640625,2975.64306640625,2833.979087798544,2889.1677290732914,6502
2024-10-03,2900.34521484375,3044.753658178918,2894.157753892772,2942.0610546468583,5580
