date,close,high,low,open,volume
2024-02-02,140515.609375,143065.48406309338,140022.55810182105,142567.54137732784,12058
2024-02-05,141217.390625,143538.94233552206,139986.67068344596,142452.89293503776,19822
2024-02-06,142954.078125,143165.73298377116,141332.3878502775,141814.83069830452,8245
2024-02-07,142564.34375,144389.55716753175,142100.95252089892,143948.3486496365,7534
2024-02-08,142052.21875,143414.99141674483,141580.60238908348,143414.99141674483,7121
2024-02-09,136668.78125,143315.2764388088,135887.80645989312,143315.2764388088,26614
2024-02-12,143367.875,144331.79491039482,137139.01886872816,137183.8827838828,40809
2024-02-13,144190.03125,144966.7689034776,142069.65055045407,144364.09700227546,15951
2024-02-14,146839.09375,147587.82263461617,142336.65721703123,143664.2240654991,11908
2024-02-15,148060.71875,149745.171657675,146605.28987451378,147552.41687472316,16290
2024-02-16,147606.78125,148748.8172429747,147053.8645987745,148397.88169559182,9418
2024-02-19,148451.984375,149097.68197351377,147653.1107937073,148547.80309462504,11657
2024-02-20,148176.625,148487.63472954626,146684.6039187974,147905.35410441682,6520
2024-02-21,149236.296875,150341.71619261612,148253.3055508611,148253.3055508611,12528
2024-02-22,149713.40625,150287.17744956366,148455.74252676012,148757.78558139573,7334
2024-02-23,150272.234375,150990.0715536366,149599.2620200282,149713.41807135305,7594
2024-02-26,147929.03125,150770.46983077266,146932.44028636868,150396.8455823009,24255
2024-02-27,146707.109375,149200.4404066622,145669.08083485867,148452.69346175744,11115
2024-02-28,145589.734375,148053.90341434,145262.31466309316,147056.90743175184,9984
2024-02-29,145642.71875,146645.55652923387,144311.8848629328,145860.51564307135,58201
2024-03-01,144749.875,147056.9239630543,143667.13724119405,145642.73173696423,8313
2024-03-04,145706.765625,146359.00348228883,144181.31510792786,145187.5332568686,9680
2024-03-05,144959.453125,146702.90282661183,144564.39353232976,146059.84052434732,4157
2024-03-06,145302.296875,145710.92505034214,143567.43029060937,145142.6840396313,5515
2024-03-07,143524.21875,145298.1239855277,143097.05267349826,145298.1239855277,7336
2024-03-11,144515.28125,144900.7136991449,143453.4804362535,144065.9320059783,10522
2024-03-12,141849.25,144209.98062797106,141174.62645949694,144209.98062797106,6303
2024-03-13,138639.96875,143068.92080434685,137333.10955627207,141849.25202326503,9846
2024-03-14,139880.21875,142494.04594136224,138482.7265216065,138682.12569586368,7838
2024-03-15,140887.5625,142204.34512601682,137132.67259574085,140077.95491604297,23415
2024-03-18,136601.171875,140875.54323183425,135890.56293346785,140875.54323183425,16839
2024-03-19,132281.171875,136578.47361904322,131753.16905717982,136578.47361904322,13171
2024-03-20,131117.59375,133636.39512675008,129225.24079685289,132281.47754704944,14354
2024-03-21,131188.328125,132570.47626331067,130651.8974958272,131625.41744090914,10316
2024-03-22,130908.515625,132351.12206502713,130107.97459215562,131304.36976081913,11040
2024-03-26,131249.953125,131919.87217413454,130307.43354008262,131598.49672106866,7707
2024-03-27,131413.453125,133441.84152298517,130869.68526572814,131603.4743347461,7985
2024-03-28,132986.65625,133597.47211773982,131603.9784946098,132489.80949443526,10442
2024-04-01,135311.640625,136578.38633450097,134150.84131682615,135586.46879912337,12671
2024-04-02,136680.96875,137076.93193867587,134501.4420473625,135890.55344469572,7756
2024-04-03,135781.609375,137141.76139961966,135591.4790898103,136786.87749737414,6928
2024-04-04,134954.328125,136705.34907514643,134695.1559005257,135988.259705849,5388
2024-04-05,135057.65625,135691.15373089878,134095.96015287205,135282.38537652945,6537
2024-04-08,132309.796875,135391.05974586442,130382.4010930151,134402.0397142891,15744
2024-04-09,132524.40625,133587.20403354993,132280.53167065146,132520.7142490223,3764
2024-04-10,132281.015625,133485.7450098832,131852.71240255248,133098.95732129118,4292
2024-04-12,131320.828125,132948.92264867868,131104.9784836182,132600.47253476214,4795
2024-04-15,129054.953125,131004.78139963736,128781.97872435708,131004.78139963736,8752
2024-04-16,129765.15625,130296.1111304626,127616.6299216181,128113.9829220755,6799
2024-04-18,128843.2890625,131108.0589534617,128616.32448004572,130357.18076005232,4811
2024-04-19,128769.671875,129131.97870020832,126929.6688368626,128533.7343055625,6377
2024-04-22,128632.46875,131255.51845298265,128322.45752180796,129509.7784828254,6055
2024-04-23,128838.5078125,129713.27055666113,128368.17494328058,129110.98370729056,5398
2024-04-24,128138.3671875,129756.63970628603,127939.5599515172,129048.96726367448,4696
2024-04-25,129243.296875,129484.46866898214,127814.89747535494,128113.99629940024,5828
2024-04-26,129846.515625,130357.22682531562,129243.28631162085,129310.38102671845,3735
2024-04-29,130428.3203125,130845.76568728118,130008.2889791334,130606.48662781036,3233
2024-04-30,132619.859375,135175.11332498287,130658.96301776398,130658.96301776398,14637
2024-05-02,133459.84375,134594.47203363074,132101.9818107857,133635.81355973287,9911
2024-05-03,128174.203125,133896.56292996038,127384.0837942331,133896.56292996038,32315
2024-05-06,126095.578125,129061.14297457808,124625.60865768688,129061.14297457808,16067
2024-05-07,124140.46875,126604.59130279584,122741.28600522516,126095.57806834244,13141
2024-05-08,126297.1015625,126808.06198329372,123467.9775826179,124140.45134617954,9470
2024-05-09,125845.96875,127316.28860869248,125422.09745618864,125920.59545879668,7038
2024-05-10,127212.4140625,127466.89730836324,125166.32888591688,126319.40157051232,5922
