date,close,high,low,open,volume
2024-02-02,1277.530029296875,1284.722491119746,1256.9943591535634,1282.1431497208148,2683
2024-02-05,1292.7581787109375,1346.8256501711116,1279.8118201323066,1296.676902973095,8207
2024-02-06,1288.492431640625,1309.4744828227515,1276.3396508474311,1303.1749023053612,2966
2024-02-07,1272.718505859375,1294.5934371115816,1256.0022572481116,1256.0022572481116,1820
2024-02-08,1266.567626953125,1282.192629606412,1254.9605305655775,1279.613288309348,2080
2024-02-09,1237.3018798828125,1273.7602232646966,1230.1590692118732,1269.8912714604992,3331
2024-02-12,1284.5240478515625,1369.0478214296556,1279.7620939451128,1349.2065486553129,24646
2024-02-13,1321.925048828125,1329.36552752697,1262.401219237365,1299.60361273159,6643
2024-02-14,1314.5340576171875,1329.2661793810128,1289.7324650513112,1325.694774271832,3439
2024-02-15,1330.059814453125,1354.1670118967345,1291.3197978726023,1337.1035639237032,5742
2024-02-16,1302.182861328125,1348.1154616511794,1291.3693421722114,1348.1154616511794,4406
2024-02-19,1355.3079833984375,1361.0618807724547,1309.5242148483926,1309.5242148483926,9713
2024-02-20,1335.4169921875,1378.968615115408,1329.365427521329,1360.119403829658,5341
2024-02-21,1347.6195068359375,1388.8893372069208,1242.7582892158912,1274.8516504247257,30826
2024-02-22,1332.5897216796875,1373.0163222071003,1323.9091632842308,1373.0163222071003,7173
2024-02-23,1330.3492431640625,1353.2021250294488,1323.3788504229335,1338.3154062967817,3973
2024-02-26,1303.21435546875,1336.7717653222617,1297.4886763520774,1332.2410834753753,4842
2024-02-27,1325.8681640625,1334.332211673864,1284.5436963128989,1304.4591024572849,4649
2024-02-28,1287.929443359375,1341.2528746716398,1274.635932998536,1341.2528746716398,3651
2024-02-29,1293.3065185546875,1315.412570666471,1274.5859882309487,1300.8245114122485,3470
2024-03-01,1296.4432373046875,1318.7485188102723,1290.5184519839252,1311.3300778737878,2742
2024-03-04,1293.605224609375,1306.6996288934638,1284.54373882459,1306.400849169813,1929
2024-03-05,1270.45361328125,1297.6381932398126,1259.6993661243032,1293.6052745847066,2992
2024-03-06,1232.066650390625,1272.0467310032673,1219.719074263827,1272.0467310032673,4316
2024-03-07,1233.560302734375,1254.2225365677946,1222.258212526877,1238.2403745473357,2895
2024-03-11,1214.740234375,1246.7542743867284,1206.3757393989506,1233.7594231244736,4168
2024-03-12,1168.08837890625,1211.802597079704,1155.0935280936012,1196.6171002664046,2008
2024-03-13,1081.10791015625,1174.4116726322532,1075.681009919661,1160.072554090632,5174
2024-03-14,1143.6920166015625,1151.4589519406788,1066.4699818959068,1090.5675743218185,2485
2024-03-15,1107.79443359375,1150.0151176657837,1090.0199584531783,1147.1273595505618,6161
2024-03-18,1109.2882080078125,1160.022660461614,1072.6438092473538,1105.30512647098,4789
2024-03-19,1104.2593994140625,1138.513921233699,1097.338844614541,1127.311505623977,3198
2024-03-20,1148.3720703125,1168.9844663954082,1072.9923090726984,1117.2542492006287,8016
2024-03-21,1158.7281494140625,1187.4062615054916,1147.724838830199,1175.0089697261644,5170
2024-03-22,1165.1011962890625,1175.7558908665058,1156.0894256159331,1167.0428999327078,1529
2024-03-26,1174.6605224609375,1201.8948173332908,1150.7121968245365,1163.0597735255042,4667
2024-03-27,1191.489013671875,1209.8609272793344,1176.2536792993528,1176.652011734359,2117
2024-03-28,1168.13818359375,1209.2635480336585,1165.0513197922796,1207.2221701765252,1866
2024-04-01,1201.4964599609375,1227.685268350766,1168.1879909305471,1168.1879909305471,1748
2024-04-02,1201.0484619140625,1214.7900201543396,1183.025042440409,1201.9446795622111,1349
2024-04-03,1276.47802734375,1283.5978096089027,1205.230610661454,1207.968979105436,4830
2024-04-04,1267.7152099609375,1308.4422416409257,1260.9937600894943,1291.5141456684023,2810
2024-04-05,1288.47705078125,1300.9740178289926,1267.715262407983,1280.9590572501163,3413
2024-04-08,1284.3446044921875,1306.4008197877845,1271.2003633651163,1306.4008197877845,908
2024-04-09,1273.09228515625,1297.488656674692,1269.8560317915587,1291.8128147797515,1547
2024-04-10,1255.2183837890625,1284.4939353134034,1249.6918096348147,1279.714310487837,2647
2024-04-12,1246.20654296875,1280.510781526756,1235.8505074339205,1254.322095306073,2643
2024-04-15,1217.7275390625,1246.2065456797402,1214.8397808464108,1246.2065456797402,2313
2024-04-16,1213.943603515625,1234.755228040986,1199.9032659591842,1200.102371406624,829
2024-04-18,1203.88623046875,1237.4934763565252,1196.2685637567238,1230.6724744649146,1281
2024-04-19,1205.4298095703125,1224.7476565362824,1192.6340637143453,1219.8186420735829,1630
2024-04-22,1223.6025390625,1238.738198330474,1209.5620812112245,1222.0092094098827,2317
2024-04-23,1220.117431640625,1235.2032548681204,1212.0018791558236,1219.8186519205974,913
2024-04-24,1217.7772216796875,1234.7053165283091,1214.839747959905,1215.8853553809747,1233
2024-04-25,1225.2454833984375,1234.8049752593631,1211.3545367161364,1234.8049752593631,817
2024-04-26,1213.1966552734375,1231.3694622684818,1202.4921251256717,1231.3694622684818,1134
2024-04-29,1233.510498046875,1234.7552109611504,1217.2296774389526,1228.6810362502858,648
2024-04-30,1224.3494873046875,1249.6419570514856,1206.873668971496,1249.6419570514856,1419
2024-05-02,1267.36669921875,1284.5437375699764,1224.7975172178844,1224.7975172178844,4839
2024-05-03,1231.967041015625,1294.4516311180628,1220.8642987426142,1279.564912854699,1899
2024-05-06,1231.718017578125,1264.5784373077752,1225.3451849343555,1248.098511860603,2121
2024-05-07,1219.8187255859375,1245.7087556800063,1214.8398736447705,1245.7087556800063,1064
2024-05-08,1209.512451171875,1234.4564249137215,1206.2263604734303,1207.371520659494,1163
2024-05-09,1174.959228515625,1219.7688962737293,1165.0513617107122,1219.7688962737293,2939
2024-05-10,1192.982666015625,1206.7740604694084,1175.108516056208,1175.108516056208,875
2024-05-13,1187.6552734375,1194.924445770873,1170.0301864839798,1194.5261133114825,836
2024-05-14,1187.057861328125,1207.9193239964009,1162.6614866966731,1179.938078706513,1014
2024-05-15,1202.791015625,1226.1417814303556,1190.4932762610497,1193.829082582672,713
2024-05-16,1203.089599609375,1220.1173685830329,1199.355461071992,1213.8938043540609,325
2024-05-17,1204.0357666015625,1244.1652395603403,1185.2156823070586,1214.0431858827192,2826
2024-05-21,1226.9384765625,1239.73410141084,1202.9901507208756,1220.0676367499052,2282
2024-05-22,1209.512451171875,1241.177874616362,1204.8820948437017,1232.116388957675,2002
2024-05-23,1216.18408203125,1225.793290135557,1204.0357324890356,1214.9393691046298,3310
2024-05-24,1253.077392578125,1265.0763519785492,1206.276187628535,1211.4044290774268,5249
2024-05-27,1249.14404296875,1269.607171890226,1235.20325833623,1269.607171890226,2668
2024-05-28,1229.5274658203125,1259.101797222898,1219.8187047012616,1219.8187047012616,1398
2024-05-29,1226.7392578125,1246.6546651980937,1209.8609986748097,1246.6546651980937,1581
2024-05-30,1316.8564453125,1380.087862277085,1284.5935833485712,1293.505679322768,67332
2024-05-31,1307.496337890625,1330.3492193468771,1294.5014858914224,1324.4244342445895,8250
2024-06-03,1307.994140625,1385.1165025897249,1294.5014042894625,1345.335527287196,5000
2024-06-04,1207.5706787109375,1308.0937704643318,1189.9954289289713,1308.0937704643318,12712
2024-06-05,1227.2371826171875,1235.7510681709905,1168.5864032163363,1225.0465363556496,10883
2024-06-06,1255.2183837890625,1271.598757692158,1236.6969577337452,1240.7298763386286,3035
2024-06-07,1276.2291259765625,1294.5014880548442,1254.8697784912572,1258.4546490859943,2790
2024-06-10,1251.3348388671875,1286.535296547848,1238.837872310855,1284.4442031165806,5796
2024-06-11,1275.6317138671875,1281.1581666302018,1244.4142147228497,1244.762831604502,1969
2024-06-12,1283.0999755859375,1293.2069477297898,1271.548941900389,1278.4696189943688,2625
2024-06-13,1312.3258056640625,1320.391521416212,1280.9590387525914,1294.5513287250292,6598
2024-06-14,1325.5694580078125,1346.0325875798587,1306.5005528081383,1326.3162857797265,5750
2024-06-18,1330.9466552734375,1371.175802624192,1322.3830543826632,1327.4117433842578,6382
2024-06-19,1333.03759765625,1349.4180913560065,1319.3955937238698,1330.9465044222777,5313
2024-06-20,1402.7913818359375,1418.9726488846218,1320.6403337426173,1333.0376251060136,23295
2024-06-21,1474.88525390625,1487.6808783820704,1429.9261990339044,1453.824687040042,31786
2024-06-24,1584.7186279296875,1632.067555290808,1508.94053085084,1538.4651451643067,45366
2024-06-25,1601.5472412109375,1769.085605014856,1587.2081236533238,1587.2081236533238,78111
2024-06-26,1583.5736083984375,1637.5941489366337,1568.3382736895692,1607.123479518897,16715
2024-06-27,1537.220458984375,1583.9718277226575,1531.046731511591,1583.7727222766955,12959
2024-06-28,1543.2449951171875,1577.2504566059667,1532.6400161798688,1539.4610190232138,9044
2024-07-01,1582.279052734375,1611.156392274524,1493.6056563179395,1543.593399764664,13090
2024-07-02,1568.2884521484375,1606.824837331891,1553.4017341510882,1595.2240885320791,6980
2024-07-03,1541.3031005859375,1593.182711128076,1537.5689618009371,1575.05973951314,5649
2024-07-04,1529.9512939453125,1545.584961253252,1503.6132170106648,1541.402652882811,6566
2024-07-05,1647.2032470703125,1684.0965867724246,1531.196002512153,1532.5901052983293,31324
2024-07-08,1626.2919921875,1688.0297502882618,1613.2474256737823,1672.894090472252,6979
2024-07-09,1635.7021484375,1676.0805621780632,1613.2973161282127,1645.410909104858,4110
2024-07-10,1579.6900634765625,1644.315581699274,1563.3594058813974,1639.3367300881866,9253
2024-07-11,1600.9498291015625,1635.0549646305494,1578.296052947272,1601.5971041596283,5067
2024-07-12,1570.8775634765625,1608.1691144437675,1563.3594487162325,1608.1691144437675,3593
2024-07-15,1558.97802734375,1595.5228719264562,1548.0245535521046,1573.3669817569917,5586
2024-07-16,1594.87548828125,1603.040755930099,1569.7322887899418,1578.694221281893,4377
2024-07-18,1581.1837158203125,1624.7983829144396,1553.0033671359154,1594.875557723616,5780
2024-07-19,1535.2288818359375,1597.016478450348,1532.8390087711864,1597.016478450348,3991
2024-07-22,1548.7713623046875,1592.2367616280344,1528.3083549047171,1539.1621542855016,3302
2024-07-23,1529.453369140625,1553.4016938761465,1516.6577448832772,1544.3899238894342,3030
2024-07-24,1614.3428955078125,1622.5580011635411,1515.5126850434378,1537.0711381356357,7943
2024-07-25,1597.464599609375,1636.6979760938443,1577.350086964271,1636.6481389542578,3280
2024-07-26,1597.3150634765625,1619.5705046679452,1568.3381729724406,1619.5705046679452,4947
2024-07-29,1621.313232421875,1662.7373761528563,1606.2274088888732,1617.97742606599,8891
2024-07-30,1668.4132080078125,1676.4292078824478,1621.313222209986,1632.7645811428956,7445
2024-07-31,1644.1163330078125,1679.516016117131,1633.3122494651152,1679.516016117131,2402
2024-08-01,1686.884765625,1707.7461052866413,1623.055790627359,1644.1163572861535,12479
2024-08-02,1721.13916015625,1766.496546832076,1619.8195301448836,1662.936433601785,16031
2024-08-05,1609.3638916015625,1720.6910584739626,1581.2832180883406,1720.6910584739626,12699
2024-08-06,1597.3150634765625,1658.9532674108484,1593.232429686289,1629.0801593542303,7859
2024-08-07,1622.5579833984375,1647.8505751481337,1559.426239081559,1618.525186325817,8584
2024-08-08,1609.712646484375,1641.328355854418,1603.1903019139943,1623.3048148443584,2301
2024-08-09,1634.60693359375,1647.9999967280355,1608.716903433672,1630.4246250201052,3149
2024-08-12,1657.858154296875,1682.8519668907836,1610.1108909429267,1610.1108909429267,6367
2024-08-13,1542.0499267578125,1673.8899443021676,1503.2647205724095,1672.8941739605243,18278
2024-08-14,1544.838134765625,1586.959147350978,1520.5911512192793,1565.2015896626554,9448
2024-08-16,1590.494140625,1622.0600110879618,1537.5192083223526,1559.3763181835968,3497
2024-08-19,1642.6724853515625,1649.0951551088424,1588.6519470486126,1598.211317534281,5799
2024-08-20,1633.0135498046875,1665.3760864362032,1603.1902762073978,1665.3760864362032,4447
2024-08-21,1616.13525390625,1650.3897777453149,1593.1826990600434,1633.0135124650035,5397
2024-08-22,1659.4013671875,1678.818888030176,1611.2558975114582,1611.2558975114582,6753
2024-08-23,1699.0330810546875,1729.6530179000686,1648.995623282967,1678.2712945288615,10248
2024-08-26,1666.7701416015625,1742.598076498272,1654.9702875086446,1721.686899580293,4665
2024-08-27,1664.828369140625,1689.5233993554164,1649.0951499655798,1663.9321515704532,2622
2024-08-28,1687.581787109375,1708.6920697382373,1664.6790692433087,1675.08482069564,2441
2024-08-29,1656.712890625,1695.9959816188225,1635.1047230322856,1690.8180245116453,2543
2024-08-30,1654.92041015625,1684.8433564500235,1635.1046783253566,1635.1046783253566,2296
2024-09-02,1655.7171630859375,1742.5981268383046,1643.070928158482,1654.9204981777834,9718
2024-09-03,1730.25048828125,1762.5134710450775,1678.370878783321,1678.370878783321,8717
2024-09-04,1720.740966796875,1747.5769285597123,1712.2270818566526,1747.5769285597123,3799
2024-09-05,1715.21435546875,1750.5143642644923,1696.8921574914057,1723.479297646452,4687
2024-09-06,1665.7744140625,1732.5408649873125,1652.9787893114608,1725.0227501854108,2817
2024-09-09,1683.6982421875,1722.4337324277333,1635.104722899939,1665.7743762047285,4326
